Base_Aircraft_ICAO,Base_Aircraft_Name,Airframe_Internal_ID,Airframe_Name,Registration,Fin_Number,Engines,Max_Passengers,OEW_kgs,MZFW_kgs,MTOW_kgs,MLW_kgs,Max_Fuel_kgs,Default_Cruise,Default_Climb,Default_Descent,Comments
B38M,B737 MAX 8,3689_1764487744441,B737 MAX 8,B-2131,809,LEAP-1B28,197,45069,65952,82190,69308,20730,CI,250/280/78,78/280/250,iFly (MSFS) - 737 MAX 8200 - 197 Seats (KG)
B38M,B737 MAX 8,3689_1763994784760,B737 MAX 8,B-2131,809,LEAP-1B28,197,99360,145400,181200,152800,45694,CI,250/280/78,78/280/250,iFly (MSFS) - 737 MAX 8200 - 197 Seats (LBS)
B739,B737-900,B739,B737-900,N922SB,922,CFM56-7B26,189,100271,149300,187700,157300,46100,,,,Default
B739,B737-900,746599_1768333575205,B737-900,N922SB,922,CFM56-7B26,178,96725,140300,174700,146300,46056,CI,250/280/78,78/280/250,PMDG (MSFS) - Dual Class [credit: PMDG Official]
B739,B737-900,746599_1768330219336,B737-900,N922SB,922,CFM56-7B26,188,96725,140300,174700,146300,46056,CI,250/280/78,78/280/250,PMDG (MSFS) - Single Class [credit: PMDG Official]
B739,B737-900,746599_1768334576522,B737-900ER,N922SB,922,CFM56-7B27,179,100370,149300,188200,157300,46057,CI,250/280/78,78/280/250,PMDG (MSFS) - ER 0 Aux Tank - Dual Class [credit: PMDG Official]
B739,B737-900,746599_1768335405681,B737-900ER,N922SB,922,CFM56-7B27,204,100370,149300,188200,157300,46057,CI,250/280/78,78/280/250,PMDG (MSFS) - ER 0 Aux Tank - Single Class [credit: PMDG Official]
B739,B737-900,746599_1768334311448,B737-900ER,N922SB,922,CFM56-7B27,215,100370,149300,188200,157300,46057,CI,250/280/78,78/280/250,PMDG (MSFS) - ER 0 Aux Tank - High Density [credit: PMDG Official]
B739,B737-900,746599_1768335362865,B737-900ER,N922SB,922,CFM56-7B27,179,100370,149300,188200,157300,49521,CI,250/280/78,78/280/250,PMDG (MSFS) - ER 1 Aux Tank - Dual Class [credit: PMDG Official]
B739,B737-900,746599_1768334388948,B737-900ER,N922SB,922,CFM56-7B27,204,100370,149300,188200,157300,49521,CI,250/280/78,78/280/250,PMDG (MSFS) - ER 1 Aux Tank - Single Class [credit: PMDG Official]
B739,B737-900,746599_1768334804982,B737-900ER,N922SB,922,CFM56-7B27,215,100370,149300,188200,157300,49521,CI,250/280/78,78/280/250,PMDG (MSFS) - ER 1 Aux Tank - High Density [credit: PMDG Official]
B739,B737-900,746599_1768335304953,B737-900ER,N922SB,922,CFM56-7B27,179,100370,149300,188200,157300,52314,CI,250/280/78,78/280/250,PMDG (MSFS) - ER 2 Aux Tank - Dual Class [credit: PMDG Official]
B739,B737-900,746599_1768334657946,B737-900ER,N922SB,922,CFM56-7B27,204,100370,149300,188200,157300,52314,CI,250/280/78,78/280/250,PMDG (MSFS) - ER 2 Aux Tank - Single Class [credit: PMDG Official]
B739,B737-900,746599_1768334832423,B737-900ER,N922SB,922,CFM56-7B27,215,100370,149300,188200,157300,52314,CI,250/280/78,78/280/250,PMDG (MSFS) - ER 2 Aux Tank - High Density [credit: PMDG Official]
B739,B737 BBJ3,BBJ3,B737 BBJ3,N900SB,900,CFM56-7B27,63,110282,149300,187700,157300,77000,,,,Default
B741,B747-100B,3_1761408811646,B747-100B,N231SB,231,JT9D-7A,366,381480,526500,735000,564000,324580,M84,250/320/82,84/290/250,Default
B742,B747-200B,B742,B747-200B,N238SB,238,JT9D-7F,366,386689,526500,812000,630000,371240,,,,Default
B742,B747-200B,3_1759766708700,B747-200B,N238SB,238,JT9D-7J,388,386688,526500,812000,630000,371240,M85,250/320/82,84/320/250,Felis (X-Plane) - JT9D-7J
B742,B747-200B,3_1759766695143,B747-200B,N238SB,238,CF6-50E2,388,346445,589957,832906,666016,371240,M85,250/320/82,84/320/250,Felis (X-Plane) - CF6-50E2
B744,B747-400,B744,B747-400,N484SB,484,RB211-524H,400,403534,545000,875000,630000,383810,,,,Default
B744,B747-400F,B74F,B747-400F,N487SB,487,RB211-524H,25,373574,635000,875000,666000,383810,,,,Default
B748,B747-8,B748,B747-8,N748SB,748,GENX-2B67,410,485300,651000,987000,688000,426109,,,,Default
B748,B747-8,141372_1660066082616,B747-8,LN-SLT,748,GENX-2B67,364,220129,295289,447695,312072,193280,,,,Salty Simulations (MSFS) - 747-8
B748,B747-8,349674_1688373238088,B747-8,ASWT748,,GENX-2B67/P,364,467160,651000,975000,688000,421216,CI,250/340/84,84/340/250,Working Title (MSFS) - 747-8i [credit: Awemeter]
B748,B747-8F,B48F,B747-8F,N749SB,749,GENX-2B67,25,434600,727000,987000,763000,400218,,,,Default
B748,B747-8F,349674_1688378505409,B747-8F,ASWT748,,GENX-2B67/P,0,467160,651000,975000,763000,421216,CI,250/340/84,84/340/250,Working Title (MSFS) - 747-8F [credit: Awemeter]
B752,B757-200,B752,B757-200,N537SB,537,PW2037,239,132541,184000,255000,198000,75600,,,,Default
B752,B757-200PF,B75F,B757-200PF,N538SB,538,PW2037,25,129932,200000,255000,210000,75600,,,,Default
B753,B757-300,B753,B757-300,N533SB,533,PW2043,289,141194,210000,273000,224000,75600,,,,Default
B762,B767-200ER,B762,B767-200ER,N627SB,627,CF6-80C2B2,216,183351,260000,380000,285000,161738,,,,Default
B763,B767-300ER,B763,B767-300ER,N619SB,619,CF6-80C2B6F,290,195600,295000,407000,320000,161700,,,,Default
B763,B767-300F,B76F,B767-300F,N618SB,618,CF6-80C2B6F,25,195600,309000,412000,326000,161700,,,,Default
