Base_Aircraft_ICAO,Base_Aircraft_Name,Airframe_Internal_ID,Airframe_Name,Registration,Fin_Number,Engines,Max_Passengers,OEW_kgs,MZFW_kgs,MTOW_kgs,MLW_kgs,Max_Fuel_kgs,Default_Cruise,Default_Climb,Default_Descent,Comments
A148,Antonov An-148,3_1764962785765,Antonov An-148,P-671,671,D-436-148,73,21000,31850,41950,33112,11900,M80,250/320/77,77/320/250,JARDesign (X-Plane) - An-148-100B [credit: KevinAviationHD]
A225,Antonov An-225,A225,Antonov An-225,UR-82060,225,D-18T,38,628317,1198211,1410957,1212541,661386,,,,Default
A225,Antonov An-225,3_1677576294832,Antonov An-225,UR-82060,225,D-18T,38,285000,543499,639999,549999,300000,,,,iniBuilds (MSFS) - An-225
BCS1,A220-100,BCS1,A220-100,N201SB,201,PW1521G,135,77650,111000,134000,115500,38565,,,,Default
BCS3,A220-300,BCS3,A220-300,N203SB,203,PW1521G-3,160,81750,123000,149000,129500,38565,,,,Default
BCS3,A220-300,347385_1783098201479,A220-300,C-SYNC,220,PW1521G-3,140,81750,115608,154000,134500,38392,M78,250/275/78,78/275/250,Synaptic / iniBuilds (MSFS) - A220-300
A306,A300B4-600,A306,A300B4-600,N306SB,306,CF6-80C2A1,274,191198,286601,363763,304238,107299,,,,Default
A306,A300B4-600,347385_1702657155316,A300B4-600,G-INIB,IB,CF6-80C2A1,256,88805,130000,170500,140000,54530,CI,250/300/78,78/300/250,iniBuilds (MSFS) - A300-600R GE
A306,A300B4-600,347385_1711546435461,A300B4-600,G-INPW,PW,PW4158,256,88805,130000,170500,140000,54530,CI,250/300/78,78/300/250,iniBuilds (MSFS) - A300-600R PW
A3ST,A300F4-608ST,A3ST,A300F4-608ST,N308SB,308,CF6-80C2A8,5,198416,286601,337307,308647,109349,,,,Default
A30B,A300B4-200,A30B,A300B4-200,N302SB,302,CF6-50C2,269,195119,273373,363763,295419,107299,,,,Default
A306,A300F4-600R,A30F,A300F4-600R,N307SB,307,CF6-80C2A5,25,180880,286601,375888,308647,117958,,,,Default
A306,A300F4-600R,347385_1703262262270,A300F4-600R,G-INIB,IB,CF6-80C2A1,0,80000,130000,170662,140001,54530,CI,250/300/78,78/300/250,iniBuilds (MSFS) - A300-600RF GE
A306,A300F4-600R,347385_1711122593284,A300F4-600R,G-INPW,PW,PW4158,0,80000,130000,170662,140001,54530,CI,250/300/78,78/300/250,iniBuilds (MSFS) - A300-600RF PW
A310,A310-304,A310,A310-304,N314SB,314,CF6-80C2A2,240,192296,251370,346185,273420,133141,,,,Default
A310,A310-304,347385_1664536765275,A310-304,G-INIB,IB,CF6-80C2A2,238,80000,114000,153000,124000,60300,,,,iniBuilds (MSFS) - A310
A318,A318-100,A318,A318-100,N318SB,882,CFM56-5B9/P,136,82488,120152,149914,126766,42600,,,,Default
A319,A319-100,A319,A319-100,N319SB,194,CFM56-5B6/2P,145,93171,128970,168653,137789,42600,,,,Default
A319,A319-100,80_1722530034323,A319-112,G-SMOL,,CFM56-5B6,150,41910,58500,75500,62500,19004,CI,250/300/78,78/300/250,Fenix Simulations (MSFS) - A319 CFM
A319,A319-100,80_1738576840218,A319-115,G-SMOL,,CFM56-5B7,150,41910,58500,75500,62500,19004,CI,250/300/78,78/300/250,Fenix Simulations (MSFS) - A319 CFM (SL)
A319,A319-100,80_1722530055241,A319-132,G-SMOL,,IAE V2524-A5,150,41910,58500,75500,62500,19004,CI,250/300/78,78/300/250,Fenix Simulations (MSFS) - A319 IAE
A319,A319-100,80_1738576986208,A319-132,G-SMOL,,IAE V2524-A5,150,41910,58500,75500,62500,19004,CI,250/300/78,78/300/250,Fenix Simulations (MSFS) - A319 IAE (SL)
A319,A319-100,129100_1749416807301,A319-100,N319SB,194,CFM56-5B6/2P,50,93171,128970,166500,137789,55000,CI,250/300/78,78/300/250,LatinVFR (MSFS) - A319 ACJ
A319,A319-100,323617_1589463205,A319-112,C-GTLS,,CFM56-5B6,145,40823,58500,70000,62500,18660,CI,250/300/78,78/300/250,ToLiss (X-Plane) - CFM56-5B6 [credit: Rodeo314]
A319,A319-100,323617_1729902948611,A319-115,C-GTLS,,CFM56-5B7,145,40823,58500,70000,62500,18660,CI,250/300/78,78/300/250,ToLiss (X-Plane) - CFM56-5B7 [credit: Rodeo314]
A319,A319-100,323617_1589463246,A319-132,C-GTLS,,V2524-A5,145,40823,58500,70000,62500,18660,CI,250/300/78,78/300/250,ToLiss (X-Plane) - V2524-A5 [credit: Rodeo314]
A320,A320-200,A320,A320-200,N320SB,205,CFM56-5B4/P,180,96518,137789,171961,145505,42600,,,,Default
A320,A320-200,80_1709125568637,A320-214,G-FENX,,CFM56-5B4/P,180,44029,61000,73500,64500,19004,CI,250/300/78,78/300/250,Fenix Simulations (MSFS) - A320 CFM
A320,A320-200,80_1730058463659,A320-214,G-FENX,,CFM56-5B4/P,180,44029,61000,73500,64500,19004,CI,250/300/78,78/300/250,Fenix Simulations (MSFS) - A320 CFM (SL)
A320,A320-200,80_1707996202186,A320-232,G-FENX,,IAE V2527-A5,180,44029,61000,73500,64500,19004,CI,250/300/78,78/300/250,Fenix Simulations (MSFS) - A320 IAE
A320,A320-200,80_1730058455324,A320-232,G-FENX,,IAE V2527-A5,180,44029,61000,73500,64500,19004,CI,250/300/78,78/300/250,Fenix Simulations (MSFS) - A320 IAE (SL)
A320,A320-200,323617_1758458370325,A320-214,C-GTLT,,CFM56-5B4,188,43220,61000,77000,64500,18660,CI,250/300/78,78/300/250,ToLiss (X-Plane) - CFM56-5B4 [credit: Rodeo314]
A320,A320-200,323617_1758834801707,A320-232,C-GTLT,,V2527-A5,188,43220,61000,77000,64500,18660,CI,250/300/78,78/300/250,ToLiss (X-Plane) - V2527-A5 [credit: Rodeo314]
A20N,A320-200N,A20N,A320-200N,N251SB,251,LEAP-1A26,186,97751,141757,174165,148592,42145,,,,Default
A20N,A320-200N,337364_1631550522735,A320-251N,D-AFBW,,LEAP-1A26,174,42500,64300,79000,67400,19046,CI,250/300/78,78/300/250,FlyByWire (MSFS) - All Versions [credit: sidnov]
A20N,A320-200N,347385_1701976694015,A320-251N,G-INEO,EO,LEAP-1A26,180,42500,62800,79000,66300,19050,,,,iniBuilds (MSFS) - A320neo V2
A20N,A320-200N,323617_1678807119689,A320-251N,C-GTLT,,LEAP-1A26,188,44220,64300,79000,67400,18560,CI,250/300/78,78/300/250,ToLiss (X-Plane) - LEAP-1A26 [credit: Rodeo314]
A20N,A320-200N,323617_1678807316925,A320-271N,C-GTLT,,PW1127G-JM,188,44220,64300,79000,67400,18560,CI,250/300/78,78/300/250,ToLiss (X-Plane) - PW1127G-JM [credit: Rodeo314]
A321,A321-200,A321,A321-200,N321SB,219,CFM56-5B3/P,220,108441,162701,206132,171520,47100,,,,Default
A321,A321-200,80_1722529640343,A321-112,G-FBIG,,CFM56-5B3,230,49202,75600,93500,77800,18644,CI,250/300/78,78/300/250,Fenix Simulations (MSFS) - A321 CFM
A321,A321-200,80_1730059159445,A321-112,G-FBIG,,CFM56-5B3,230,49502,75600,93500,77800,20993,CI,250/300/78,78/300/250,Fenix Simulations (MSFS) - A321 CFM (1 ACT)
A321,A321-200,80_1730058817608,A321-112,G-FBIG,,CFM56-5B3,230,49802,75600,93500,77800,23342,CI,250/300/78,78/300/250,Fenix Simulations (MSFS) - A321 CFM (2 ACT)
A321,A321-200,80_1730059308794,A321-112,G-FBIG,,CFM56-5B3,230,49576,75600,93500,77800,18644,CI,250/300/78,78/300/250,Fenix Simulations (MSFS) - A321 CFM (SL)
A321,A321-200,80_1730059202090,A321-112,G-FBIG,,CFM56-5B3,230,49876,75600,93500,77800,20993,CI,250/300/78,78/300/250,"Fenix Simulations (MSFS) - A321 CFM (SL, 1 ACT)"
A321,A321-200,80_1730059217412,A321-112,G-FBIG,,CFM56-5B3,230,50176,75600,93500,77800,23342,CI,250/300/78,78/300/250,"Fenix Simulations (MSFS) - A321 CFM (SL, 2 ACT)"
A321,A321-200,80_1722529734976,A321-231,G-FBIG,,IAE V2533-A5,230,49202,75600,93500,77800,18644,CI,250/300/78,78/300/250,Fenix Simulations (MSFS) - A321 IAE
A321,A321-200,80_1730058526391,A321-231,G-FBIG,,IAE V2533-A5,230,49502,75600,93500,77800,20993,CI,250/300/78,78/300/250,Fenix Simulations (MSFS) - A321 IAE (1 ACT)
A321,A321-200,80_1730058602642,A321-231,G-FBIG,,IAE V2533-A5,230,49802,75600,93500,77800,23342,CI,250/300/78,78/300/250,Fenix Simulations (MSFS) - A321 IAE (2 ACT)
A321,A321-200,80_1730058652195,A321-231,G-FBIG,,IAE V2533-A5,230,49576,75600,93500,77800,18644,CI,250/300/78,78/300/250,Fenix Simulations (MSFS) - A321 IAE (SL)
A321,A321-200,80_1730058743243,A321-231,G-FBIG,,IAE V2533-A5,230,49876,75600,93500,77800,20993,CI,250/300/78,78/300/250,"Fenix Simulations (MSFS) - A321 IAE (SL, 1 ACT)"
A321,A321-200,80_1730058769925,A321-231,G-FBIG,,IAE V2533-A5,230,50176,75600,93500,77800,23342,CI,250/300/78,78/300/250,"Fenix Simulations (MSFS) - A321 IAE (SL, 2 ACT)"
A321,A321-200,2851_1750291932972,A321-211,SX-FSL,FSL,CFM56-5B3,220,50288,73800,93500,77800,18970,CI,250/300/78,78/300/250,FSLabs (MSFS) - A321-211 CFM (0 ACT)
A321,A321-200,2851_1750292528364,A321-211,SX-FSL,FSL,CFM56-5B3,220,50288,73800,93500,77800,21374,CI,250/300/78,78/300/250,FSLabs (MSFS) - A321-211 CFM (1 ACT)
A321,A321-200,2851_1750292465869,A321-211,SX-FSL,FSL,CFM56-5B3,220,50288,73800,93500,77800,23770,CI,250/300/78,78/300/250,FSLabs (MSFS) - A321-211 CFM (2 ACT)
A321,A321-200,2851_1750291983114,A321-211,SL-FSL,FSL,CFM56-5B3,220,50288,73800,93500,77800,18970,CI,250/300/78,78/300/250,"FSLabs (MSFS) - A321-211 CFM (SL, 0 ACT)"
A321,A321-200,2851_1750292271630,A321-211,SL-FSL,FSL,CFM56-5B3,220,50288,73800,93500,77800,21374,CI,250/300/78,78/300/250,"FSLabs (MSFS) - A321-211 CFM (SL, 1 ACT)"
A321,A321-200,2851_1750292386034,A321-211,SL-FSL,FSL,CFM56-5B3,220,50288,73800,93500,77800,23770,CI,250/300/78,78/300/250,"FSLabs (MSFS) - A321-211 CFM (SL, 2 ACT)"
A321,A321-200,2851_1750291782559,A321-231,SX-FSL,FSL,IAE V2533-A5,220,50288,73800,93500,77800,18970,CI,250/300/78,78/300/250,FSLabs (MSFS) - A321-231 IAE (0 ACT)
A321,A321-200,2851_1750291601695,A321-231,SX-FSL,FSL,IAE V2533-A5,220,50288,73800,93500,77800,21374,CI,250/300/78,78/300/250,FSLabs (MSFS) - A321-231 IAE (1 ACT)
A321,A321-200,2851_1750291537302,A321-231,SX-FSL,FSL,IAE V2533-A5,220,50288,73800,93500,77800,23770,CI,250/300/78,78/300/250,FSLabs (MSFS) - A321-231 IAE (2 ACT)
A321,A321-200,2851_1750291646993,A321-231,SL-FSL,FSL,IAE V2533-A5,220,50288,73800,93500,77800,18970,CI,250/300/78,78/300/250,"FSLabs (MSFS) - A321-231 IAE (SL, 0 ACT)"
A321,A321-200,2851_1750291624879,A321-231,SL-FSL,FSL,IAE V2533-A5,220,50288,73800,93500,77800,21374,CI,250/300/78,78/300/250,"FSLabs (MSFS) - A321-231 IAE (SL, 1 ACT)"
A321,A321-200,2851_1750291497084,A321-231,SL-FSL,FSL,IAE V2533-A5,220,50288,73800,93500,77800,23770,CI,250/300/78,78/300/250,"FSLabs (MSFS) - A321-231 IAE (SL, 2 ACT)"
A321,A321-200,129100_1740749042728,A321-200,N321SB,219,CFM56-5B3/P,25,108441,162701,206132,171520,47100,CI,250/300/78,78/300/250,LatinVFR (MSFS) - A321P2F
A321,A321-200,323617_1589463290,A321-211,C-GTLU,,CFM56-5B3,220,47780,73800,93000,77800,18540,CI,250/300/78,78/300/250,ToLiss (X-Plane) - CFM56-5B3 - 0 ACT [credit: Rodeo314]
A321,A321-200,323617_1589463332,A321-211,C-GTLU,,CFM56-5B3,220,47780,73800,93000,77800,23240,CI,250/300/78,78/300/250,ToLiss (X-Plane) - CFM56-5B3 - 2 ACT [credit: Rodeo314]
A321,A321-200,323617_1589463349,A321-231,C-GTLU,,V2533-A5,220,47780,73800,93000,77800,18540,CI,250/300/78,78/300/250,ToLiss (X-Plane) - V2533-A5 - 0 ACT [credit: Rodeo314]
A321,A321-200,323617_1589463385,A321-231,C-GTLU,,V2533-A5,220,47780,73800,93000,77800,23240,CI,250/300/78,78/300/250,ToLiss (X-Plane) - V2533-A5 - 2 ACT [credit: Rodeo314]
A21N,A321-200N,A21N,A321-200N,N261SB,261,LEAP-1A32,220,110581,166669,206132,174606,52166,,,,Default
A21N,A321-200N,2851_1749606976699,A321-252NX,SN-FSL,FSL,LEAP-1A30,235,50288,75600,89000,79200,18970,CI,250/300/78,78/300/250,FSLabs (MSFS) - A321-252NX LEAP-30 (0 ACT)
A21N,A321-200N,2851_1750291086282,A321-252NX,SN-FSL,FSL,LEAP-1A30,235,50288,75600,89000,79200,21374,CI,250/300/78,78/300/250,FSLabs (MSFS) - A321-252NX LEAP-30 (1 ACT)
A21N,A321-200N,2851_1750291117706,A321-252NX,SN-FSL,FSL,LEAP-1A30,235,50288,75600,89000,79200,23770,CI,250/300/78,78/300/250,FSLabs (MSFS) - A321-252NX LEAP-30 (2 ACT)
A21N,A321-200N,2851_1750290541399,A321-251NX,SN-FSL,FSL,LEAP-1A32,235,50288,73800,93500,77800,18970,CI,250/300/78,78/300/250,FSLabs (MSFS) - A321-251NX LEAP-32 (0 ACT)
A21N,A321-200N,2851_1750290441999,A321-251NX,SN-FSL,FSL,LEAP-1A32,235,50288,73800,93500,77800,21374,CI,250/300/78,78/300/250,FSLabs (MSFS) - A321-251NX LEAP-32 (1 ACT)
A21N,A321-200N,2851_1750290502974,A321-251NX,SN-FSL,FSL,LEAP-1A32,235,50288,73800,93500,77800,23770,CI,250/300/78,78/300/250,FSLabs (MSFS) - A321-251NX LEAP-32 (2 ACT)
A21N,A321-200N,2851_1750290866415,A321-251NX(LR),SN-FSL,FSL,LEAP-1A32,157,50395,75600,97000,79200,26166,CI,250/300/78,78/300/250,"FSLabs (MSFS) - A321-251NX LEAP-32 (LR, 3 ACT)"
A21N,A321-200N,2851_1750290319479,A321-253NX,SN-FSL,FSL,LEAP-1A33,235,50288,73800,93500,77800,18970,CI,250/300/78,78/300/250,FSLabs (MSFS) - A321-253NX LEAP-33 (0 ACT)
A21N,A321-200N,2851_1750289121067,A321-253NX,SN-FSL,FSL,LEAP-1A33,235,50288,73800,93500,77800,21374,CI,250/300/78,78/300/250,FSLabs (MSFS) - A321-253NX LEAP-33 (1 ACT)
A21N,A321-200N,2851_1750288221017,A321-253NX,SN-FSL,FSL,LEAP-1A33,235,50288,73800,93500,77800,23770,CI,250/300/78,78/300/250,FSLabs (MSFS) - A321-253NX LEAP-33 (2 ACT)
A21N,A321-200N,2851_1745333183429,A321-253NX(LR),SN-FSL,FSL,LEAP-1A33,157,50395,75600,97000,79200,26166,CI,250/300/78,78/300/250,"FSLabs (MSFS) - A321-253NX LEAP-33 (LR, 3 ACT)"
A21N,A321-200N,2851_1750293290397,A321-272NX,SN-FSL,FSL,PW1130G-JM,239,50395,75600,97000,79200,18970,CI,250/300/78,78/300/250,FSLabs (MSFS) - A321-272NX PW1130G (0 ACT)
A21N,A321-200N,2851_1750293267242,A321-272NX,SN-FSL,FSL,PW1130G-JM,239,50395,75600,97000,79200,21374,CI,250/300/78,78/300/250,FSLabs (MSFS) - A321-272NX PW1130G (1 ACT)
A21N,A321-200N,2851_1750293233139,A321-272NX,SN-FSL,FSL,PW1130G-JM,239,50395,75600,97000,79200,23770,CI,250/300/78,78/300/250,FSLabs (MSFS) - A321-272NX PW1130G (2 ACT)
A21N,A321-200N,2851_1750293193281,A321-272NX(LR),SN-FSL,FSL,PW1130G-JM,239,50395,75600,97000,79200,26166,CI,250/300/78,78/300/250,"FSLabs (MSFS) - A321-272NX PW1130G (LR, 3 ACT)"
A21N,A321-200N,2851_1750293323576,A321-271NX,SN-FSL,FSL,PW1133G-JM,239,50395,75600,97000,79200,18970,CI,250/300/78,78/300/250,FSLabs (MSFS) - A321-271NX PW1133G (0 ACT)
A21N,A321-200N,2851_1750293345048,A321-271NX,SN-FSL,FSL,PW1133G-JM,239,50395,75600,97000,79200,21374,CI,250/300/78,78/300/250,FSLabs (MSFS) - A321-271NX PW1133G (1 ACT)
A21N,A321-200N,2851_1750293386886,A321-271NX,SN-FSL,FSL,PW1133G-JM,239,50395,75600,97000,79200,23770,CI,250/300/78,78/300/250,FSLabs (MSFS) - A321-271NX PW1133G (2 ACT)
A21N,A321-200N,2851_1750293052836,A321-271NX(LR),SN-FSL,FSL,PW1133G-JM,157,50395,75600,97000,79200,26166,CI,250/300/78,78/300/250,"FSLabs (MSFS) - A321-271NX PW1133G (LR, 3 ACT)"
A21N,A321-200N,347385_1706702257237,A321-251N,G-NELR,261,LEAP-1A32,220,46600,75600,93500,79200,25860,CI,250/300/78,78/300/250,iniBuilds (MSFS) - A321LR LEAP-1A
A21N,A321-200N,323617_1607699906393,A321-253N,C-GTLU,,LEAP-1A33,244,49580,75600,93500,79200,18440,CI,250/300/78,78/300/250,ToLiss (X-Plane) - LEAP-1A33 - 0 ACT [credit: Rodeo314]
A21N,A321-200N,323617_1607700968900,A321-253NX,C-GTLU,,LEAP-1A33,244,49580,75600,97000,79200,25800,CI,250/300/78,78/300/250,ToLiss (X-Plane) - LEAP-1A33 - LR 3 ACT [credit: Rodeo314]
A21N,A321-200N,323617_1607700454960,A321-253NY,C-GTLU,,LEAP-1A33,244,49780,75600,101000,79200,28580,CI,250/300/78,78/300/250,ToLiss (X-Plane) - LEAP-1A33 - XLR 1 ACT [credit: Rodeo314]
A21N,A321-200N,323617_1607699814906,A321-272N,C-GTLU,,PW1130G-JM,244,49580,75600,93500,79200,18440,CI,250/300/78,78/300/250,ToLiss (X-Plane) - PW1130G-JM - 0 ACT [credit: Rodeo314]
A21N,A321-200N,323617_1607700970983,A321-272NX,C-GTLU,,PW1130G-JM,244,49580,75600,97000,79200,25800,CI,250/300/78,78/300/250,ToLiss (X-Plane) - PW1130G-JM - LR 3 ACT [credit: Rodeo314]
A21N,A321-200N,323617_1607700491750,A321-272NY,C-GTLU,,PW1130G-JM,244,49780,75600,101000,79200,28580,CI,250/300/78,78/300/250,ToLiss (X-Plane) - PW1130G-JM - XLR 1 ACT [credit: Rodeo314]
A332,A330-200,A332,A330-200,N315SB,315,CF6-80E1A4,293,270254,374785,513676,401241,245312,,,,Default
A332,A330-200,347385_1685113571749,A330-200,G-CCBG,332,CF6-80E1A4,257,116000,168000,230000,180000,109176,CI,250/300/80,80/300/250,iniBuilds (MSFS) - A330-200 GE
A332,A330-200,347385_1685114003147,A330-200,G-CCBR,332,RR TRENT 700,257,116000,168000,230000,180000,109176,CI,250/300/80,80/300/250,iniBuilds (MSFS) - A330-200 RR
A332,A330-200,129100_1749577263843,A330-200F,N315SB,315,TRENT 772B-60,25,270254,374785,513676,401241,172013,CI,250/300/80,80/300/250,LatinVFR (MSFS) - A330-200F
A333,A330-300,A333,A330-300,N339SB,339,TRENT 772,335,280655,385809,513676,412264,172013,,,,Default
A333,A330-300,347385_1731589289356,A330-300,G-CCCG,333,CF6-80E1A4,291,121000,175000,233000,187000,76551,CI,250/300/80,80/300/250,iniBuilds (MSFS) - A330-300 GE
A333,A330-300,347385_1685113731446,A330-300,G-CCCR,333,TRENT 772B,291,121000,175000,233000,187000,76551,CI,250/300/80,80/300/250,iniBuilds (MSFS) - A330-300 RR
A333,A330-300,347385_1685113942179,A330-300P2F,G-CCCG,333,GE CF6-80,3,121000,170000,233000,182000,78315,CI,250/300/80,80/300/250,iniBuilds (MSFS) - A330-300P2F GE
A333,A330-300,347385_1731510990025,A330-300P2F,G-CCCG,333,RR TRENT 700,3,121000,170000,233000,182000,78315,CI,250/300/80,80/300/250,iniBuilds (MSFS) - A330-300P2F RR
A338,A330-800,A338,A330-800,N338SB,338,TRENT 7000-72,293,287701,388013,533519,410060,245313,,,,Default
A339,A330-900,A339,A330-900,N339SB,339,TRENT 7000-72,335,297829,399037,533519,421083,245313,,,,Default
A339,A330-900,352855_1683790837790,A330-900,F-WTTN,339,TRENT 7000-72,436,127000,181000,251000,191000,111665,CI,250/300/80,80/300/250,Headwind Simulations (MSFS) - A339X
A339,A330-900,352855_1683790837791,A330-900 ACJ,F-WTTE,339,TRENT 7000-72,90,134500,181000,251000,191000,111665,,,,Headwind Simulations (MSFS) - A339X ACJ
A339,A330-900,129100_1697753848191,A330-900,N339SB,339,TRENT 7000-72,335,135093,181000,250837,191000,111272,CI,250/300/80,80/300/250,LatinVFR (MSFS) - A330-900
A339,A330-900,323617_1726875371708,A330-941,C-GTLZ,,TRENT 7000-72,375,134500,181000,251000,191000,109186,CI,250/300/80,80/300/250,ToLiss (X-Plane) - TRENT 7000-72 [credit: Rodeo314]
A342,A340-200,A342,A340-200,N342SB,342,CFM56-5C2,261,291111,372581,573201,399036,243395,,,,Default
A343,A340-300,A343,A340-300,N343SB,343,CFM56-5C4,277,293612,392422,597452,418878,241406,,,,Default
A343,A340-300,347385_1755171348076,A340-300,G-DRYR,YR,CFM56-5C4,279,123000,183000,276424,192000,113200,CI,250/300/78,82/300/250,iniBuilds (MSFS) - A340-300 Passenger
A343,A340-300,347385_1756913537697,A340-300,G-HDRY,RY,CFM56-5C4,0,123000,183000,276424,192000,113200,CI,250/300/78,82/300/250,iniBuilds (MSFS) - A340-300 Preighter
A343,A340-300,20583_1767657799590,A340-300,G-VVIP,IP,CFM56-5C4,55,123000,183000,276424,192000,113200,CI,250/300/78,82/300/250,iniBuilds (MSFS) - A340-300 VIP
A343,A340-300,129100_1715004714492,A340-300,N343SB,343,CFM56-5C4,277,133180,178000,276500,192000,109500,,,,LatinVFR (MSFS) - A340-300
A345,A340-500,A345,A340-500,N542SB,542,TRENT 556-61,375,387558,511472,837756,542337,380465,,,,Default
A346,A340-600,A346,A340-600,N634SB,634,TRENT 556-61,440,402522,553360,837756,584225,361600,,,,Default
A346,A340-600,38898_1772717739162,A340-600,D-AERO,,TRENT 556B-61,440,185500,245000,368000,259000,152024,CI,250/320/82,82/300/250,Aerosoft (MSFS) - A340-600 Pro (Standard Gross Weight)
A346,A340-600,38898_1772717851553,A340-600,D-AERO,,TRENT 556B-61,440,185500,251000,380000,265000,152024,CI,250/320/82,82/300/250,Aerosoft (MSFS) - A340-600 Pro (High Gross Weight)
A346,A340-600,323617_1638576526372,A340-642,C-GTLD,,TRENT 556B-61,440,185500,245000,368000,259000,152024,CI,250/320/82,82/300/250,ToLiss (X-Plane) - Standard Gross Weight [credit: Rodeo314]
A346,A340-600,323617_1638578208335,A340-642,C-GTLD,,TRENT 556B-61,440,185500,251000,380000,265000,152024,CI,250/320/82,82/300/250,ToLiss (X-Plane) - High Gross Weight [credit: Rodeo314]
A359,A350-900,A359,A350-900,N359SB,359,TRENT XWB-84,315,312567,431445,590839,456357,238827,,,,Default
A359,A350-900,347385_1734345124322,A350-900,G-NXWB,WB,TRENT XWB-84,324,140000,196112,283000,207000,110523,CI,250/320/85,85/300/250,iniBuilds (MSFS) - A350-900
A359,A350-900,347385_1749476755253,A350-900ULR,G-NULR,LR,TRENT XWB-84,161,140000,192000,280000,205000,130693,CI,250/320/85,85/300/250,iniBuilds (MSFS) - A350-900ULR
A35K,A350-1000,A35K,A350-1000,N360SB,360,TRENT XWB-97,369,348567,485017,679024,513677,269978,,,,Default
A35K,A350-1000,347385_1734345584724,A350-1000,G-KXWB,WB,TRENT XWB-97,367,155000,223000,322000,236000,124651,CI,250/320/85,85/300/250,iniBuilds (MSFS) - A350-1000
A388,A380-800,A388,A380-800,N388SB,388,TRENT 970-84,471,628317,813505,1267657,870825,559937,,,,Default
A388,A380-800,572703_1747030762094,A380-842,D8-FBW,,TRENT 972B-84,484,300007,373000,509999,395000,259755,CI,250/320/84,85/300/250,FlyByWire (MSFS) - All Versions [credit: FlyByWire]
A388,A380-800,347385_1779789450357,A380-861,G-NRMS,MS,EA GP7270,484,628000,813505,1267658,870825,559936,CI,250/320/84,85/300/250,iniBuilds (MSFS) - A380 Airliner EA
A388,A380-800,347385_1768567000565,A380-842,G-HUGE,GE,TRENT 972-84,484,628000,813505,1267658,870825,559936,CI,250/320/84,85/300/250,iniBuilds (MSFS) - A380 Airliner RR
A388,A380-800,129100_1781880561096,A380-800,N388SB,388,TRENT 970-84,471,285000,369000,574999,395000,253983,CI,250/320/84,85/300/250,LatinVFR (MSFS) - A380-800
AC11,Commander 114,AC11,Commander 114,N114SB,114,IO-540-T4B5D,3,2060,3140,3140,3140,409,,,,Default
AC11,Commander 114 TN,AC1T,Commander 114 TN,N115SB,115,IO-540-TN,3,2135,3140,3140,3140,409,,,,Default
AEST,Aerostar 600,AEST,Aerostar 600,N600SB,600,IO-540-G1B5,5,4080,5500,5500,5500,993,,,,Default
AT43,ATR-42-300,AT43,ATR-42-300,N423SB,423,PW120,48,24030,34259,37257,36146,9921,,,,Default
AT45,ATR-42-500,AT45,ATR-42-500,N425SB,425,PW127E,48,25794,36817,41005,40344,9921,,,,Default
AT46,ATR-42-600,AT46,ATR-42-600,N426SB,426,PW127M,48,25794,36817,41005,40344,9921,,,,Default
AT46,ATR-42-600,349674_1682505597349,ATR-42-600,HH426,,PW127XT-M,48,26025,37478,41005,40344,10221,,,,Microsoft (MSFS) - ATR 42 - Economy [credit: Awemeter]
AT46,ATR-42-600,349674_1691977400383,ATR-42-600,HH426,,PW127XT-M,18,26025,37440,40970,40310,10221,,,,Microsoft (MSFS) - ATR 42 - HighLine [credit: Awemeter]
AT72,ATR-72-201,AT72,ATR-72-201,N722SB,722,PW124B,66,28660,44092,48501,47068,11023,,,,Default
AT73,ATR-72-211,AT73,ATR-72-211,N723SB,723,PW127,66,28799,44092,48501,47068,11023,,,,Default
AT75,ATR-72-500,AT75,ATR-72-500,N725SB,725,PW127F,68,29982,45855,50265,49272,11023,,,,Default
AT76,ATR-72-600,AT76,ATR-72-600,N726SB,726,PW127M,70,29762,46296,50705,49272,11023,,,,Default
AT76,ATR-72-600,349674_1682504211078,ATR-72-600,HH726,,PW127XT-M,68,29410,46296,50705,49272,11296,,,,Microsoft (MSFS) - ATR 72 - Economy [credit: Awemeter]
AT76,ATR-72-600,349674_1691977209082,ATR-72-600,HH726,,PW127XT-M,28,29410,46260,50660,49230,11296,,,,Microsoft (MSFS) - ATR 72 - HighLine [credit: Awemeter]
B190,B1900D,B190,B1900D,N190SB,192,PT6A-67D,18,10697,15165,17120,16795,4484,,,,Default
B350,King Air 350,B350,King Air 350,N070SB,070,PT6A-60A,12,9970,12500,15000,15000,3600,,,,Default
B461,BAe 146-100,B461,BAe 146-100,N461SB,461,ALF 502R-5,82,51341,65000,76000,72350,20640,,,,Default
B461,BAe 146-100,3_1716156805628,BAe 146-100,G-JUST,,ALF 502R-5,80,53150,68500,84000,77500,22840,,,,Just Flight (MSFS) - BAe 146-100
B461,BAe 146-100,3_1716156807788,BAe 146-100 CC2,G-JUST,,ALF 502R-5,15,53150,68500,84000,77500,22840,,,,Just Flight (MSFS) - BAe 146-100 CC2
B461,BAe 146-100,624280_1747730906065,BAe 146-100,G-JUST,,ALF 502R-5,80,49000,68500,84000,77500,20640,M70,HighSpeed,HighSpeed,Just Flight (X-Plane) - BAe 146-100
